Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-01-05 17:09:11,false,"Sydney Running","9.23","621","00:45:13","160","183","157","237","4:54","4:06","167","247","1.31","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:08.39","10","0.0","00:45:06","01:03:38","-112","150"
Running,2021-01-02 16:45:12,false,"Sydney Running","8.11","502","00:39:15","151","177","156","178","4:50","3:56","141","192","1.33","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:29.59","9","0.0","00:39:08","00:46:19","-37","111"
Running,2020-12-31 09:25:57,false,"Sydney Running","6.47","451","00:34:55","152","177","155","173","5:24","4:16","147","197","1.20","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:25.51","7","0.0","00:34:48","00:47:35","-3","112"
Running,2020-12-25 07:30:50,false,"Vincentia Running","9.38","625","00:43:59","164","177","159","217","4:41","4:07","58","108","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:49.67","10","0.0","00:43:55","00:49:31","-91","23"
Running,2020-12-23 17:22:07,false,"Sydney Running","8.15","517","00:38:43","155","177","154","172","4:45","4:08","118","174","1.37","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:41.27","9","0.0","00:38:36","00:45:16","-57","102"
Running,2020-12-19 07:58:05,false,"Sydney Running","5.08","301","00:25:30","141","167","155","177","5:01","3:53","32","79","1.29","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:25.33","6","0.0","00:25:25","00:30:30","24","109"
Running,2020-12-18 17:32:33,false,"Sydney Running","5.21","296","00:24:28","145","179","155","167","4:42","4:10","29","123","1.38","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:00.61","6","0.0","00:24:23","00:31:00","-32","98"
Running,2020-12-15 17:51:49,false,"Sydney Running","8.08","521","00:37:02","161","186","156","242","4:35","3:44","196","217","1.40","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:20.56","9","0.0","00:36:52","00:43:36","-17","122"
Running,2020-12-12 07:48:46,false,"Sydney Running","6.08","346","00:34:12","131","153","154","172","5:37","4:09","33","165","1.16","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:22.04","7","0.0","00:33:56","00:41:37","-89","86"
Running,2020-12-07 17:51:04,false,"Sydney Running","7.68","518","00:38:14","155","182","153","168","4:59","4:02","126","214","1.31","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:09.35","8","0.0","00:37:57","00:45:25","11","657"
Running,2020-12-03 17:52:42,false,"Sydney Running","8.02","476","00:38:40","147","170","154","225","4:49","3:55","122","198","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:03.39","9","0.0","00:38:32","00:48:16","383","559"
